"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 13 17:09:32 CST 2020","Mon Jul 13 17:09:32 CST 2020","349","testcases.service_testing.PQ","test_name_list","TestNameList","","","手动录入-不同面试状态录入：面试状态为1","手动录入-不同面试状态录入"
"failed","Mon Jul 13 17:12:17 CST 2020","Mon Jul 13 17:12:49 CST 2020","32169","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","生成预支名单3","生成预支名单3"
"passed","Mon Jul 13 17:15:31 CST 2020","Mon Jul 13 17:16:02 CST 2020","31513","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","订单模式不同的预支名单","订单模式不同的预支名单"
"broken","Mon Jul 13 17:09:27 CST 2020","Mon Jul 13 17:09:27 CST 2020","344","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","待审核状态身份证手动审核不通过","
                待审核状态身份证手动审核不通过

        "
"broken","Mon Jul 13 17:09:14 CST 2020","Mon Jul 13 17:09:14 CST 2020","237","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","银行卡号查询","
                银行卡号查询

        "
"passed","Mon Jul 13 17:10:20 CST 2020","Mon Jul 13 17:10:20 CST 2020","215","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用面试状态查询","使用面试状态查询"
"broken","Mon Jul 13 17:09:24 CST 2020","Mon Jul 13 17:09:24 CST 2020","140","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","身份证信息列表查看未脱敏手机号和未脱敏身份证号码","
                身份证信息列表查看未脱敏手机号和未脱敏身份证号码

        "
"broken","Mon Jul 13 17:08:45 CST 2020","Mon Jul 13 17:08:45 CST 2020","461","testcases.service_testing.MiniPro","test_uploadThreecard","TestThreecard","","","会员已上传审核通过的身份证，再次上传身份证","
                会员已上传身份证，再次上传身份证

        "
"passed","Mon Jul 13 17:29:12 CST 2020","Mon Jul 13 17:29:13 CST 2020","1451","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","组合查询","组合查询"
"passed","Mon Jul 13 17:11:01 CST 2020","Mon Jul 13 17:11:02 CST 2020","491","testcases.service_testing.PQ","test_name_list","TestNameList","","","批量设置面试状态","批量设置面试状态"
"broken","Mon Jul 13 17:09:15 CST 2020","Mon Jul 13 17:09:16 CST 2020","808","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","审核状态查询","
                审核状态查询

        "
"broken","Mon Jul 13 17:09:28 CST 2020","Mon Jul 13 17:09:29 CST 2020","342","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","会员已有打卡记录，审核身份证成功","
                会员已有打卡记录，审核身份证成功

        "
"broken","Mon Jul 13 17:29:17 CST 2020","Mon Jul 13 17:29:18 CST 2020","335","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","身份证审核通过状态，未审核状态的工牌信息检查","
                身份证审核通过状态，未审核状态的工牌信息检查

        "
"passed","Mon Jul 13 17:10:21 CST 2020","Mon Jul 13 17:10:24 CST 2020","3111","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用企业类型查询","使用企业类型查询"
"passed","Mon Jul 13 17:09:31 CST 2020","Mon Jul 13 17:09:32 CST 2020","325","testcases.service_testing.PQ","test_name_list","TestNameList","","","手动录入-不同面试状态录入：面试状态为0","手动录入-不同面试状态录入"
"passed","Mon Jul 13 17:28:26 CST 2020","Mon Jul 13 17:28:57 CST 2020","31542","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用企业查询","使用企业查询"
"passed","Mon Jul 13 17:16:36 CST 2020","Mon Jul 13 17:17:07 CST 2020","30775","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","名单未绑定订单，检查预支名单","名单未绑定订单，检查预支名单"
"passed","Mon Jul 13 17:09:30 CST 2020","Mon Jul 13 17:09:31 CST 2020","690","testcases.service_testing.PQ","test_name_list","TestNameList","","","手动录入-带所有选填项信息","手动录入-带所有选填项信息"
"failed","Mon Jul 13 17:08:28 CST 2020","Mon Jul 13 17:08:29 CST 2020","714","testcases.service_testing.MiniPro","test_login","TestLoin","","","输入正确的验证码和手机号码,tenant_type为1登录","
                        输入正确的验证码和手机号码,tenant_type为1登录

        "
"passed","Mon Jul 13 17:09:35 CST 2020","Mon Jul 13 17:09:35 CST 2020","586","testcases.service_testing.PQ","test_name_list","TestNameList","","","手工录入-关闭企业","手工录入-关闭企业"
"broken","Mon Jul 13 17:29:20 CST 2020","Mon Jul 13 17:29:20 CST 2020","153","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","身份证号码查询","
                身份证号码查询

        "
"broken","Mon Jul 13 17:29:22 CST 2020","Mon Jul 13 17:29:22 CST 2020","236","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","组合查询","
                组合查询

        "
